,Unnamed: 0.1,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,capableCOneThirtyCSeventeen,weatherLink
1578,9,PK,OPDI,Dera Ismail Khan Airport,N31.54.57',E70.53.80',31.9,70.88333333333334, Public,5000 x 75feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPDI
1579,10,PK,OPFA,Faisalabad International Airport,N31.21.92',E72.59.73',31.35,72.98333333333333, Public,9272 x 151feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPFA
1580,11,PK,OPGT,Gilgit Airport,N35.55.13',E74.20.02',35.916666666666664,74.33333333333333, Public,5400 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPGT
1581,12,PK,OPGD,Gwadar Airport,N25.13.94',E62.19.65',25.216666666666665,62.31666666666667, Public,5000 x 90feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPGD
1582,13,PK,OPKD,Hyderabad Airport,N25.19.09',E68.21.98',25.316666666666666,68.35, Public,6998 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPKD
1583,14,PK,OPIS,Islamabad Airport,N33.32.94',E72.49.54',33.53333333333333,72.81666666666666, Public,,,,,,,,,No,https://www.getmetar.com/OPIS
1584,15,PK,OPRN,Islamabad Benazir Bhutto International Airport,N33.37.01',E73.5.92',33.61666666666667,73.08333333333333, Public,10809 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPRN
1585,16,PK,OPJI,Jiwani Airport,N25.4.07',E61.48.33',25.066666666666666,61.8, Public,,,,,,,,,No,https://www.getmetar.com/OPJI
1586,17,PK,OPKW,Kadanwari Airport,N27.12.38',E69.9.38',27.2,69.15,Private,,,,,,,,,No,https://www.getmetar.com/OPKW
1587,18,PK,OPKC,Karachi Jinnah International Airport,N24.54.51',E67.9.77',24.9,67.15, Public,11155 x 148feet,Hard,10500 x 151feet,Unknown,,,,,Yes,https://www.getmetar.com/OPKC
1588,19,PK,OPSF,Karachi Sharea Faisal Airport,N24.52.50',E67.7.20',24.86666666666667,67.11666666666666,Military,8038 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPSF
1589,20,PK,OPKH,Khuzdar Airport,N27.47.56',E66.38.58',27.78333333333333,66.63333333333334, Public,6000 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPKH
1590,21,PK,OPKT,Kohat Airport,N33.34.50',E71.26.50',33.56666666666667,71.43333333333334, Public,,,,,,,,,No,https://www.getmetar.com/OPKT
1591,22,PK,OPLH,Lahore Walton Airport,N31.29.69',E74.20.77',31.48333333333333,74.33333333333333, Public,4390 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPLH
1592,23,PK,OPMA,Mangla Airport,N33.3.01',E73.38.30',33.05,73.63333333333334, Public,5000 x 100feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPMA
1593,24,PK,OPMR,Masroor Airport,N24.54.00',E66.56.00',24.9,66.93333333333334, Public,9022 x 200feet,Hard,8622 x 130feet,Unknown,,,,,Yes,https://www.getmetar.com/OPMR
1594,25,PK,OPMI,Mianwali Airport,N32.33.00',E71.33.00',32.55,71.55, Public,10348 x 97feet,Hard,10161 x 156feet,Unknown,,,,,Yes,https://www.getmetar.com/OPMI
