,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,weatherLink
62,CN,ZYTX,Shenyang Taoxian Airport,N41.38.50',E123.29.10',41.63333333333333,123.48333333333332, Public,10499 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZYTX
63,CN,ZGSZ,Shenzhen Baoan Airport,N22.38.30',E113.48.70',22.63333333333333,113.8, Public,12467 x 197feet,Hard,11155 x 148feet,Unknown,,,,,https://www.getmetar.com/ZGSZ
64,CN,ZBSJ,Shijiazhuang Zhengding Airport,N38.16.90',E114.41.90',38.266666666666666,114.68333333333334, Public,11155 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZBSJ
65,CN,ZBYN,Taiyuan Wusu Airport,N37.44.90',E112.37.80',37.73333333333333,112.61666666666666, Public,11811 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZBYN
66,CN,ZBTJ,Tianjin Binhai Airport,N39.7.40',E117.20.70',39.11666666666667,117.33333333333331, Public,11811 x 164feet,Hard,10499 x 148feet,Unknown,,,,,https://www.getmetar.com/ZBTJ
67,CN,ZUTR,Tongren Fenghuang Airport,N27.53.00',E109.18.50',27.88333333333333,109.3, Public,,,,,,,,,https://www.getmetar.com/ZUTR
68,CN,ZWTL,Turpan Jiaohe Airport,N43.1.80',E89.6.00',43.01666666666666,89.1, Public,,,,,,,,,https://www.getmetar.com/ZWTL
69,CN,ZWWW,Urumqi Diwopu Airport,N43.54.50',E87.28.50',43.9,87.46666666666668, Public,11811 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZWWW
70,CN,ZUWX,Wanzhou Wuqiao Airport,N30.48.20',E108.25.90',30.8,108.41666666666669, Public,,,,,,,,,https://www.getmetar.com/ZUWX
71,CN,ZSWH,Weihai Dashuipo Airport,N37.11.30',E122.13.80',37.18333333333333,122.21666666666668, Public,8530 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZSWH
72,CN,ZSWZ,Wenzhou Longwan Airport,N27.54.60',E120.51.20',27.9,120.85, Public,7874 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZSWZ
73,CN,ZHHH,Wuhan Tianhe Airport,N30.47.10',E114.12.40',30.78333333333333,114.2, Public,11155 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZHHH
74,CN,ZSWX,Wuxi Shuofang Airport,N31.29.60',E120.25.70',31.48333333333333,120.41666666666669, Public,,,,,,,,,https://www.getmetar.com/ZSWX
