,Unnamed: 0.1,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,capableCOneThirtyCSeventeen,weatherLink
14,14,KR,RKTH,Pohang Airport,N35.59.27',E129.25.12',35.98333333333333,129.41666666666666, Public,6998 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/RKTH
15,15,KR,RKPP,Pusan Airport,N35.10.00',E129.8.00',35.166666666666664,129.13333333333333, Public,,,,,,,,,No,https://www.getmetar.com/RKPP
16,16,KR,RKPS,Sacheon Airport,N35.5.32',E128.4.23',35.083333333333336,128.06666666666666,Military,8999 x 148feet,Hard,8999 x 148feet,Unknown,,,,,Yes,https://www.getmetar.com/RKPS
17,17,KR,RKTE,Seongmu Airport,N36.34.09',E127.30.01',36.56666666666667,127.5, Public,4000 x 120feet,Hard,,,,,,,Yes,https://www.getmetar.com/RKTE
18,18,KR,RKTP,Seosan Airport,N36.42.24',E126.29.17',36.7,126.48333333333332, Public,9000 x 150feet,Hard,9000 x 150feet,Unknown,,,,,Yes,https://www.getmetar.com/RKTP
19,19,KR,RKSM,Seoul Airport,N37.26.75',E127.6.85',37.43333333333333,127.1,Military,9700 x 150feet,Hard,9000 x 150feet,Unknown,,,,,Yes,https://www.getmetar.com/RKSM
20,20,KR,RKSS,Seoul Gimpo International Airport,N37.33.42',E126.47.85',37.55,126.78333333333332, Public,11811 x 150feet,Hard,10499 x 197feet,Unknown,,,,,Yes,https://www.getmetar.com/RKSS
21,21,KR,RKND,Sokcho Airport,N38.8.85',E128.36.03',38.13333333333333,128.6,Military,5118 x 100feet,Hard,,,,,,,Yes,https://www.getmetar.com/RKND
22,22,KR,RKSW,Suwon Airport,N37.14.36',E127.0.42',37.23333333333333,127.0,Military,9000 x 150feet,Hard,9000 x 150feet,Unknown,7535 x 143feet,Unknown,,,Yes,https://www.getmetar.com/RKSW
23,23,KR,RKTL,Uljin Airport,N36.46.62',E129.27.70',36.766666666666666,129.45, Public,5906 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/RKTL
24,24,KR,RKPU,Ulsan Airport,N35.35.60',E129.21.13',35.583333333333336,129.35, Public,6562 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/RKPU
25,25,KR,RKNW,Wonju Airport,N37.26.28',E127.57.62',37.43333333333333,127.95,Military,8999 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/RKNW
26,26,KR,RKNY,Yangyang International Airport,N38.3.68',E128.40.15',38.05,128.66666666666666, Public,8202 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/RKNY
27,27,KR,RKTY,Yecheon Airport,N36.37.90',E128.21.30',36.61666666666667,128.35,Military,9000 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/RKTY
28,28,KR,RKJY,Yeosu Airport,N34.50.53',E127.37.03',34.833333333333336,127.61666666666666,Military,6890 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/RKJY
