,Unnamed: 0.1,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,capableCOneThirtyCSeventeen,weatherLink
15,15,IN,VIBS,Beas Airport Airport,N31.33.68',E75.20.40',31.55,75.33333333333333, Public,,,,,,,,,No,https://www.getmetar.com/VIBS
16,16,IN,VOHY,Begumpet Airport,N17.27.20',E78.27.75',17.45,78.45, Public,10597 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VOHY
17,17,IN,VOBM,Belagavi Airport,N15.51.50',E74.37.06',15.85,74.61666666666666, Public,4787 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VOBM
18,18,IN,VIBT,Bhatinda Airport,N30.16.21',E74.45.35',30.266666666666666,74.75, Public,9200 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VIBT
19,19,IN,VABV,Bhavnagar Airport,N21.45.26',E72.11.43',21.75,72.18333333333334, Public,6300 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VABV
20,20,IN,VABJ,Bhuj Airport,N23.17.22',E69.40.23',23.28333333333333,69.66666666666667, Public,8250 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VABJ
21,21,IN,VOBR,Bidar Airport,N17.54.53',E77.28.92',17.9,77.46666666666667, Public,6955 x 148feet,Hard,6798 x 150feet,Unknown,,,,,Yes,https://www.getmetar.com/VOBR
22,22,IN,VEBS,Biju Patnaik International Airport,N20.14.79',E85.49.12',20.233333333333334,85.81666666666666, Public,8999 x 148feet,Hard,4180 x 148feet,Unknown,,,,,Yes,https://www.getmetar.com/VEBS
23,23,IN,VIBK,Bikaner Airport,N28.4.00',E73.12.00',28.066666666666666,73.2, Public,8960 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VIBK
24,24,IN,VEBU,Bilaspur Airport,N21.59.33',E82.6.68',21.98333333333333,82.1, Public,,,,,,,,,No,https://www.getmetar.com/VEBU
25,25,IN,VERC,Birsa Munda Airport,N23.18.85',E85.19.27',23.3,85.31666666666666, Public,8901 x 151feet,Hard,,,,,,,Yes,https://www.getmetar.com/VERC
26,26,IN,VOCL,Calicut Airport,N11.8.27',E75.57.03',11.133333333333333,75.95, Public,9831 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VOCL
27,27,IN,VOBX,Campbell Bay Naval Air Station Airport,N7.0.78',E93.55.41',7.0,93.91666666666669, Public,,,,,,,,,No,https://www.getmetar.com/VOBX
28,28,IN,VOCX,Carnicobar Airport,N9.9.15',E92.49.18',9.15,92.81666666666666,Military,8900 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VOCX
